{'k': 10, 'reg_penalty': 10}
Step  3200 , error  2167.06560982 , delta error  2.82959412375 , grad norm  53.1541533683
Step  3300 , error  1910.79247287 , delta error  2.3180038288 , grad norm  48.1096629679
Step  3400 , error  1700.8466319 , delta error  1.89903697916 , grad norm  43.545377807
Step  3500 , error  1528.84153752 , delta error  1.55590499593 , grad norm  39.4154968385
Step  3600 , error  1387.91067719 , delta error  1.274863853 , grad norm  35.6785740405
Step  3700 , error  1272.43191245 , delta error  1.0446621378 , grad norm  32.2971075391
Step  3800 , error  1177.80179015 , delta error  0.856089164962 , grad norm  29.2371690063
Step  3900 , error  1100.2507713 , delta error  0.701604957984 , grad norm  26.4680688438
Step  4000 , error  1036.6919664 , delta error  0.575037234793 , grad norm  23.9620529763
Step  4100 , error  984.597310606 , delta error  0.471333250895 , grad norm  21.6940275018
Step  4200 , error  941.896210897 , delta error  0.386356575067 , grad norm  19.6413079753
Step  4300 , error  906.892595363 , delta error  0.31672068346 , grad norm  17.7833906829
Step  4400 , error  878.197029096 , delta error  0.259652731989 , grad norm  16.1017438369
Step  4500 , error  854.671162659 , delta error  0.212882065971 , grad norm  14.5796170985
Step  4600 , error  835.382272188 , delta error  0.174549002386 , grad norm  13.2018681827
Step  4700 , error  819.566055052 , delta error  0.14313021768 , grad norm  11.9548054936
Step  4800 , error  806.596177606 , delta error  0.117377727993 , grad norm  10.8260457995
Step  4900 , error  795.959344837 , delta error  0.0962689871327 , grad norm  9.80438593621
Step  5000 , error  787.234886022 , delta error  0.0789660721083 , grad norm  8.87968746438
Step  5001 , error  787.234886022 , delta error  0.0789660721083 , grad norm  8.87968746438
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 3.57%
[0.00011997046880767811, 0.00035470545977011496, 0.00013296398891966761]
Step  100 , error  700071.02033 , delta error  1420.53798174 , grad norm  1190.91648076
Step  200 , error  572034.839473 , delta error  1153.42035016 , grad norm  1073.14582899
Step  300 , error  467841.196236 , delta error  940.263821281 , grad norm  968.933190057
Step  400 , error  382821.653436 , delta error  767.837792743 , grad norm  875.599826066
Step  500 , error  313359.550549 , delta error  627.593107227 , grad norm  791.609644271
Step  600 , error  256569.221591 , delta error  513.225849044 , grad norm  715.858016804
Step  700 , error  210120.206454 , delta error  419.831850308 , grad norm  647.456701549
Step  800 , error  172119.649591 , delta error  343.503873076 , grad norm  585.651327949
Step  900 , error  141025.540869 , delta error  281.092702958 , grad norm  529.783335488
Step  1000 , error  115579.575034 , delta error  230.044626064 , grad norm  479.26939555
Step  1100 , error  94753.9221083 , delta error  188.281770786 , grad norm  433.588643938
Step  1200 , error  77708.4817864 , delta error  154.110041877 , grad norm  392.273816087
Step  1300 , error  63756.3105093 , delta error  126.146520083 , grad norm  354.904546312
Step  1400 , error  52335.5415421 , delta error  103.261401644 , grad norm  321.10199041
Step  1500 , error  42986.5204743 , delta error  84.5311799162 , grad norm  290.524332946
Step  1600 , error  35333.1574689 , delta error  69.2007018191 , grad norm  262.862933023
Step  1700 , error  29067.7026147 , delta error  56.6523194902 , grad norm  237.838960161
Step  1800 , error  23938.3072554 , delta error  46.3807591451 , grad norm  215.200424505
Step  1900 , error  19738.8565637 , delta error  37.9726198394 , grad norm  194.719535359
Step  2000 , error  16300.6558137 , delta error  31.0896338109 , grad norm  176.190339868
Step  2100 , error  13485.6307322 , delta error  25.454989541 , grad norm  159.426604852
Step  2200 , error  11180.7651948 , delta error  20.8421521729 , grad norm  144.259912246
Step  2300 , error  9293.55050161 , delta error  17.0657223455 , grad norm  130.537943757
Step  2400 , error  7748.26188462 , delta error  13.9739600277 , grad norm  118.12293413
Step  2500 , error  6482.91163391 , delta error  11.4426690277 , grad norm  106.890275282
Step  2600 , error  5446.7557322 , delta error  9.37019388327 , grad norm  96.7272558437
Step  2700 , error  4598.25334084 , delta error  7.67332638689 , grad norm  87.5319224709
Step  2800 , error  3903.39681685 , delta error  6.28395610285 , grad norm  79.2120508508
Step  2900 , error  3334.3449264 , delta error  5.14632948281 , grad norm  71.6842156174
Step  3000 , error  2868.3041705 , delta error  4.21480688404 , grad norm  64.8729495293
Step  3100 , error  2486.6131558 , delta error  3.45202696332 , grad norm  58.7099832493
Step  3200 , error  2173.99313618 , delta error  2.82740440194 , grad norm  53.1335579354
Step  3300 , error  1917.93455185 , delta error  2.31590039108 , grad norm  48.0878036251
Step  3400 , error  1708.19487553 , delta error  1.89701632365 , grad norm  43.5221770859
Step  3500 , error  1536.38756002 , delta error  1.55397014895 , grad norm  39.39095342
Step  3600 , error  1395.64555172 , delta error  1.27302221592 , grad norm  35.6527662683
Step  3700 , error  1280.34583726 , delta error  1.04292345985 , grad norm  32.270191954
Step  3800 , error  1185.883948 , delta error  0.854463719163 , grad norm  29.2093733578
Step  3900 , error  1108.4893574 , delta error  0.700102004761 , grad norm  26.4396797213
Step  4000 , error  1045.07435229 , delta error  0.573663845515 , grad norm  23.9333989394
Step  4100 , error  993.110305527 , delta error  0.470093535761 , grad norm  21.6654592344
Step  4200 , error  950.526379535 , delta error  0.385251320965 , grad norm  19.6131774014
Step  4300 , error  915.626592389 , delta error  0.315747367011 , grad norm  17.7560310842
Step  4400 , error  887.021916269 , delta error  0.258805838908 , grad norm  16.0754527853
Step  4500 , error  863.574682281 , delta error  0.212153626258 , grad norm  14.5546435319
Step  4600 , error  844.353060245 , delta error  0.173929244348 , grad norm  13.1784043207
Step  4700 , error  828.593786787 , delta error  0.142608251172 , grad norm  11.9329836427
Step  4800 , error  815.671646428 , delta error  0.116942184798 , grad norm  10.8059395512
Step  4900 , error  805.074481539 , delta error  0.0959085690737 , grad norm  9.78601488592
Step  5000 , error  796.382729041 , delta error  0.078669980512 , grad norm  8.8630243953
Step  5001 , error  796.382729041 , delta error  0.078669980512 , grad norm  8.8630243953
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 4.08%
[0.00011997046880767811, 0.00035470545977011496, 0.00013296398891966761, 2.7886224205242612e-05]
Result:  result(mean_score=0.00015888153542567584, std_dev=0.0001200963896518502, parameters={'k': 10, 'reg_penalty': 20})
{'k': 10, 'reg_penalty': 50}
Step  100 , error  699195.856315 , delta error  1407.26439625 , grad norm  1185.37785779
Step  200 , error  571950.427253 , delta error  1149.18128407 , grad norm  1071.18665212
Step  300 , error  467991.897763 , delta error  939.252328444 , grad norm  968.418484273
Step  400 , error  383001.479525 , delta error  768.059891512 , grad norm  875.729761998
Step  500 , error  313490.289352 , delta error  628.268242792 , grad norm  792.037114385
Step  600 , error  256624.356645 , delta error  514.02740565 , grad norm  716.41784853
Step  700 , error  210095.107089 , delta error  420.620762671 , grad norm  648.065365745
Step  800 , error  172018.882987 , delta error  344.223570548 , grad norm  586.264918064
Step  900 , error  140857.193285 , delta error  281.72417962 , grad norm  530.37833386
Step  1000 , error  115352.651952 , delta error  230.586090896 , grad norm  479.833262159
Step  1100 , error  94477.1692322 , delta error  188.739061311 , grad norm  434.114964965
Step  1200 , error  77389.8831708 , delta error  154.492002826 , grad norm  392.759696203
Step  1300 , error  63402.9144238 , delta error  126.462763946 , grad norm  355.349157753
Step  1400 , error  51953.4441618 , delta error  103.521244794 , grad norm  321.505741438
Step  1500 , error  42580.9227905 , delta error  84.7431695367 , grad norm  290.888378382
Step  1600 , error  34908.4527258 , delta error  69.372441719 , grad norm  263.188878617
Step  1700 , error  28627.572725 , delta error  56.7904458315 , grad norm  238.128679279
Step  1800 , error  23485.8175175 , delta error  46.4909888637 , grad norm  215.455941225
Step  1900 , error  19276.5436678 , delta error  38.0598313915 , grad norm  194.942947652
Step  2000 , error  15830.6070819 , delta error  31.1579591572 , grad norm  176.383767544
Step  2100 , error  13009.5540786 , delta error  25.5079064991 , grad norm  159.592153239
Step  2200 , error  10700.050075 , delta error  20.882571738 , grad norm  144.399646219
Step  2300 , error  8809.3204955 , delta error  17.0960685237 , grad norm  130.65386886
Step  2400 , error  7261.41971533 , delta error  13.9962413082 , grad norm  118.216982777
Step  2500 , error  5994.17746523 , delta error  11.4585414616 , grad norm  106.964296784
Step  2600 , error  4956.69956618 , delta error  9.38101617365 , grad norm  96.7830094019
Step  2700 , error  4107.32228423 , delta error  7.6802076071 , grad norm  87.5710725659
Step  2800 , error  3411.93791861 , delta error  6.2877967449 , grad norm  79.236164591
Step  2900 , error  2842.62421665 , delta error  5.14785655689 , grad norm  71.6947617048
Step  3000 , error  2376.52246039 , delta error  4.21460376812 , grad norm  64.8712985641
Step  3100 , error  1994.91908963 , delta error  3.45055865963 , grad norm  58.6974091316
Step  3200 , error  1682.49392403 , delta error  2.82503880486 , grad norm  53.1112401541
Step  3300 , error  1426.70475363 , delta error  2.31292611378 , grad norm  48.0568302498
Step  3400 , error  1217.28355515 , delta error  1.89365757343 , grad norm  43.4835482982
Step  3500 , error  1045.82408262 , delta error  1.55039908526 , grad norm  39.3455854436
Step  3600 , error  905.444255865 , delta error  1.26936917232 , grad norm  35.6014955741
Step  3700 , error  790.509778702 , delta error  1.03928536225 , grad norm  32.2137796353
Step  3800 , error  696.407880278 , delta error  0.850910988114 , grad norm  29.1485095877
Step  3900 , error  619.362088253 , delta error  0.696684189226 , grad norm  26.3749882176
Step  4000 , error  556.28059168 , delta error  0.570414199942 , grad norm  23.8654413787
Step  4100 , error  504.632101573 , delta error  0.467032720513 , grad norm  21.5947395654
Step  4200 , error  462.344222153 , delta error  0.382390378592 , grad norm  19.5401460222
Step  4300 , error  427.720250377 , delta error  0.313090102776 , grad norm  17.6810888539
Step  4400 , error  399.371061797 , delta error  0.25635071326 , grad norm  15.9989548503
Step  4500 , error  376.159346924 , delta error  0.209895249171 , grad norm  14.4769029535
Step  4600 , error  357.153958478 , delta error  0.171859546289 , grad norm  13.0996954948
Step  4700 , error  341.592536055 , delta error  0.140717392602 , grad norm  11.8535455086
Step  4800 , error  328.850907275 , delta error  0.115219255281 , grad norm  10.7259785897
Step  4900 , error  318.418036651 , delta error  0.0943421179443 , grad norm  9.70570790882
Step  5000 , error  309.875516249 , delta error  0.0772484134386 , grad norm  8.7825211325
Step  5001 , error  309.875516249 , delta error  0.0772484134386 , grad norm  8.7825211325
Iteration:  1 / 3
Iteration:  2 / 3
Iteration:  3 / 3
Progress: 4.59%
[0.0]
Step  100 , error  699264.555917 , delta error  1408.08562208 , grad norm  1185.72200086
Step  200 , error  571963.995701 , delta error  1149.53233996 , grad norm  1071.34944557
Step  300 , error  467982.327495 , delta error  939.392822418 , grad norm  968.490476149
Step  400 , error  382983.487086 , delta error  768.100917209 , grad norm  875.752897555
Step  500 , error  313470.890466 , delta error  628.261690928 , grad norm  792.032827837
Step  600 , error  256606.865956 , delta error  513.998990452 , grad norm  716.397944535
Step  700 , error  210080.973665 , delta error  420.583660053 , grad norm  648.036713293
Step  800 , error  172008.594292 , delta error  344.184588577 , grad norm  586.231672698
Step  900 , error  140850.743319 , delta error  281.686759793 , grad norm  530.343074493
Step  1000 , error  115349.791772 , delta error  230.551851861 , grad norm  479.79761102
Step  1100 , error  94477.5432738 , delta error  188.708626864 , grad norm  434.079943897
Step  1200 , error  77393.1034242 , delta error  154.465459466 , grad norm  392.725940437
Step  1300 , error  63408.5999363 , delta error  126.439918579 , grad norm  355.317048781
Step  1400 , error  51961.2409205 , delta error  103.501771095 , grad norm  321.475492023
Step  1500 , error  42590.5124667 , delta error  84.7266907829 , grad norm  290.860088244
Step  1600 , error  34919.5551614 , delta error  69.3585767938 , grad norm  263.162571633
Step  1700 , error  28639.9450011 , delta error  56.778833682 , grad norm  238.10432872
Step  1800 , error  23499.2512716 , delta error  46.4813003402 , grad norm  215.433487093
Step  1900 , error  19290.8616296 , delta error  38.0517737649 , grad norm  194.92230871
Step  2000 , error  15845.6593881 , delta error  31.1512764803 , grad norm  176.364849706
Step  2100 , error  13025.214677 , delta error  25.5023777138 , grad norm  159.574855451
Step  2200 , error  10716.2133815 , delta error  20.8780076652 , grad norm  144.383864579
Step  2300 , error  8825.89837881 , delta error  17.0923084126 , grad norm  130.639499482
Step  2400 , error  7278.33883197 , delta error  13.993149333 , grad norm  118.203923778
Step  2500 , error  6011.37693732 , delta error  11.4560033832 , grad norm  106.95244962
Step  2600 , error  4974.12898012 , delta error  9.37893627564 , grad norm  96.7722797465
Step  2700 , error  4124.93997972 , delta error  7.67850595287 , grad norm  87.5613708568
